<Name>	<Primary>	<Secondary>	<Common>	<Units>	<Index>	<Category>
equivalence ratio	ϕ	0		1	T	quantity
period	T	tᵩ		s	t	quantity
temperature (thermodynamic)	Θ	T	Θ	K	T	quantity
temperature (triple point)	T₃	0	0	K	t	quantity
time	t	0	T	s	t	quantity
time [dimension]	T	0	0	s	t	quantity
torque	τ	0	0	g⸱m²⸱s⁻²	T	quantity
potential energy	U	0	PE	g⸱m²⸱s⁻²	u	quantity
velocity (relative)	u	0	0	m⸱s⁻¹	0	quantity
electric potential	Vₐ	0	E; φ; V; U	g⸱m²⸱C⁻¹⸱s⁻²	v	quantity
electric potential difference	ΔV	pᵢ	Vₐᵦ; ∆φ	g⸱m²⸱C⁻¹⸱s⁻²	v	quantity
frequency (fundamental)	𝓅᠎₃	p₃	P₃	s⁻¹	V	quantity
quantum number (vibrational)	v	0		1	v	quantity
stoichiometric number	ν	0		1	V	quantity
stoichiometric matrix	N	0		<none>	N	quantity
velocity; speed	v	0	0	m⸱s⁻¹	v	quantity
velocity (drift)	v_d	0	u	m⸱s⁻¹	v	quantity
velocity (wave)	v_w	0	0	m⸱s⁻¹	v	quantity
volume	V	0	0	m³	v	quantity
multiplicity of a probability	W	Ω	0	1	w	quantity
work	W	0	0	g⸱m²⸱s⁻³	w	quantity
distance (orthogonal)	x; y; z	l; w; h	i; j; k	m	x	quantity
distance (generalized displacement)	Xₖ	0		m	x	quantity
mole fraction	xᵢ	0		1	x	quantity
reactance	X	0	0	g⸱s⁻²	x	quantity
compressibility factor	Z	0		1	z	quantity
impedance	Z	0	0	g⸱m²⸱C⁻²⸱s⁻¹	z	quantity
molecular partition function	q	0	z; ε	1	z	quantity
distance (orthogonal position)	x; y; z	0	0	m	x	quantity
distance (multivariate position)	r	0	d	m	r	quantity
angle	θ	0	0	1	T	quantity
angle (smallest subtended)	ϕ	0	0	1	P	quantity
variable (unspecified)	Ϟ; ⴉ; ⴉ̵	0	0	<none>	0	other
frame of reference	R	0	0	<none>	R	other
field	₣	0	0	<none>	F	other
average	̅	⟨ ⟩	0	<none>	0	modifier
vector	⃗	0	bold print	<none>	0	modifier
unit vector	̂	0	0	<none>	0	modifier
time derivative	̇	̈	0	<none>	0	modifier
operator	̂	0	[ ]	<none>	0	modifier
source to system; absorption [subscript]	in	ab	abs	<none>	a	modifier
adiabatic [subscript]	Q	0	0	<none>	q	modifier
angular; rotational [subscript]	θ	0	0	<none>	T	modifier
applied [subscript]	A	0	in; ext	<none>	a	modifier
available [subscript]	A	0	0	<none>	a	modifier
average [subscript]	avg	μ	a	<none>	a	modifier
buoyancy [subscript]	b	B	0	<none>	0	modifier
Carnot [subscript]	C	0	0	<none>	c	modifier
center of mass [subscript]	c	0	0	<none>	c	modifier
centripetal [subscript]	c	0	0	<none>	c	modifier
combustion [subscript]	c	0	0	<none>	c	modifier
component (orthogonal) [subscript]	x; y; z	0	0	<none>	x	modifier
converging [subscript]	c	0	0	<none>	c	modifier
critical state [subscript]	c	0		<none>	c	modifier
diverging [subscript]	d	0	0	<none>	d	modifier
drag [subscript]	D	0	drag	<none>	d	modifier
elastic [subscript]	e	0	0	<none>	e	modifier
electric [subscript]	E	0	0	<none>	e	modifier
end state [subscript]	f	0	b	<none>	a	modifier
environmental [subscript]	env	0	0	<none>	e	modifier
equilibrium [subscript]	eq	0		<none>	e	modifier
final [subscript]	f	0	0	<none>	f	modifier
fluid [subscript]	flu	0	L	<none>	l	modifier
formation [subscript]	f	0	0	<none>	f	modifier
gravity [subscript]	G	0	g	<none>	g	modifier
image from image [subscript]	j; k	0	0	<none>	j	modifier
image from object [subscript]	i	0	0	<none>	i	modifier
in vacuum [subscript]	o		0	<none>	0	modifier
index [subscript]	i	0	0	<none>	i	modifier
initial [subscript]	i	0	0	<none>	i	modifier
interaction (m acting on n) [subscript]	n; m	0	0	<none>	n	modifier
internal [subscript]	int	thermal	0	<none>	i	modifier
isobaric [subscript]	p	0	0	<none>	p	modifier
isochoric [subscript]	V	0	0	<none>	v	modifier
isothermal [subscript]	T	0	0	<none>	t	modifier
kinetic [subscript]	K	0	0	<none>	k	modifier
lens (eyepiece) [subscript]	ey	0	0	<none>	e	modifier
lens (objective) [subscript]	ob	0	0	<none>	o	modifier
magnetic [subscript]	B	M	m	<none>	b	modifier
maximum [subscript]	μ	max	m	<none>	0	modifier
minimum [subscript]	A		0	<none>	0	modifier
molar [subscript]	M	0	m	<none>	m	modifier
net; sum; total; affective [subscript]	Σ	net	tot; t	<none>	S	modifier
normal [subscript]	N	0	n	<none>	n	modifier
object (source) [subscript]	obj	o	0	<none>	o	modifier
observer [subscript]	o	0	0	<none>	o	modifier
parallel [subscript]	∥	0	0	<none>	0	modifier
perpendicular; orthogonal [subscript]	⊥	0	0	<none>	0	modifier
radial [subscript]	r	0	0	<none>	r	modifier
reaction [subscript]	R	0	0	<none>	r	modifier
relative [subscript]	r	0	0	<none>	r	modifier
reversible [subscript]	rev	0	0	<none>	r	modifier
root-mean-squared [subscript]	rms	0	0	<none>	r	modifier
rotational [subscript]	θ	0	rot	<none>	T	modifier
submerged [subscript]	sub	s	0	<none>	s	modifier
source from system; radiation; emission [subscript]	out	rd	s	<none>	o	modifier
systemic [subscript]	sys	0	0	<none>	s	modifier
tangential [subscript]	tan	⊥	0	<none>	t	modifier
tension [subscript]	T	0	0	<none>	t	modifier
translational [subscript]	r	s	tran	<none>	r	modifier
unavailable [subscript]	U	0	0	<none>	u	modifier
static [subscript]	S	0	σ	<none>	s	modifier
conduction [subscript]	cd	0	0	<none>	0	modifier
radiation; radiant [subscript]	rd	0	0	<none>	0	modifier
absolute [subscript]	abs	0	0	<none>	0	modifier
atmospheric [subscript]	atm	0	0	<none>	0	modifier
new; derivative [superscript]	'	0	0	<none>	0	modifier
function of variables (Ϟ,ⴉ,ⴉ̵)	f(Ϟ,ⴉ,ⴉ̵)	0	0	<none>	0	other
vector components	⟨Ϟ,ⴉ,ⴉ̵⟩	0	0	<none>	0	other
Avogadro constant	Nₐ		0	mol⁻¹	n	quantity
Coulomb constant	k		4πε₀	g⸱m³⸱C⁻²⸱s⁻²	k	quantity
Euler constant	e	0	0	1	e	quantity
Helmholtz free energy	F	A	0	g⸱m²⸱s⁻²	a	quantity
Lagrangian multiplier	λ	a	A; B	1	a	quantity
Planck constant	h	ℏ	0	g⸱m²⸱s⁻¹	h	quantity
compressibility	κ	β	K	m⸱s²⸱g⁻¹	k	quantity
sound pressure level	Lₚ	β	SPL	1	L	quantity
focal point	fₚ	0	0	m	f	quantity
magnetization	M	0		C⸱m⁻¹⸱s⁻¹	m	quantity
magnetic moment	m	0	0	C⸱m²⸱s⁻¹	m	quantity
charge density (linear)	λ_q	0	ρₗ; τ	<various>	L	quantity
refractive index	nᵢ	0	n	1	n	quantity
illuminance [unit]	lx	0	0	cd⸱m⁻²	l	quantity
luminous flux [unit]	lm	0	0	cd	0	quantity
luminous intensity [unit]	J		0	cd	j	quantity
mass [dimension]	M	0	0	g	m	quantity
molar mass	k	0	σ	g⸱mol⁻¹	m	quantity
pressure (partial)	𝓅᠎ᵢ	pᵢ	Pᵢ	g⸱m⁻¹⸱s⁻²	p	quantity
heat flow rate; thermal flux; heat flux	Φ	0	0	g⸱m²⸱s⁻³	F	quantity
thermal flux density; heat flux density	ϕ	0	0	g⸱s⁻³	F	quantity
